"DateTime","Positive reviews","Negative reviews"
"2024-05-16 00:00:00",3117,-656
"2024-05-17 00:00:00",3614,-458
"2024-05-18 00:00:00",2382,-270
"2024-05-19 00:00:00",2071,-154
"2024-05-20 00:00:00",1481,-120
"2024-05-21 00:00:00",775,-90
"2024-05-22 00:00:00",1380,-129
"2024-05-23 00:00:00",816,-84
"2024-05-24 00:00:00",778,-73
"2024-05-25 00:00:00",774,-73
"2024-05-26 00:00:00",790,-81
"2024-05-27 00:00:00",626,-74
"2024-05-28 00:00:00",446,-41
"2024-05-29 00:00:00",775,-43
"2024-05-30 00:00:00",506,-24
"2024-05-31 00:00:00",460,-26
"2024-06-01 00:00:00",530,-48
"2024-06-02 00:00:00",573,-21
"2024-06-03 00:00:00",373,-36
"2024-06-04 00:00:00",238,-12
"2024-06-05 00:00:00",724,
"2024-06-06 00:00:00",431,
"2024-06-07 00:00:00",355,-11
"2024-06-08 00:00:00",390,-13
"2024-06-09 00:00:00",447,-12
"2024-06-10 00:00:00",303,-15
"2024-06-11 00:00:00",163,-10
"2024-06-12 00:00:00",398,-22
"2024-06-13 00:00:00",392,-15
"2024-06-14 00:00:00",314,-6
"2024-06-15 00:00:00",281,-19
"2024-06-16 00:00:00",309,-16
"2024-06-17 00:00:00",233,-7
"2024-06-18 00:00:00",134,-10
"2024-06-19 00:00:00",324,-20
"2024-06-20 00:00:00",197,-9
"2024-06-21 00:00:00",178,-5
"2024-06-22 00:00:00",238,-12
"2024-06-23 00:00:00",244,-10
"2024-06-24 00:00:00",180,-14
"2024-06-25 00:00:00",122,-6
"2024-06-26 00:00:00",201,-4
"2024-06-27 00:00:00",196,-12
"2024-06-28 00:00:00",174,
"2024-06-29 00:00:00",188,-4
"2024-06-30 00:00:00",177,-6
"2024-07-01 00:00:00",162,-8
"2024-07-02 00:00:00",81,-7
"2024-07-03 00:00:00",236,-3
"2024-07-04 00:00:00",135,
"2024-07-05 00:00:00",139,-7
"2024-07-06 00:00:00",128,-5
"2024-07-07 00:00:00",181,-4
"2024-07-08 00:00:00",127,-9
"2024-07-09 00:00:00",56,-5
"2024-07-10 00:00:00",139,-14
"2024-07-11 00:00:00",152,-5
"2024-07-12 00:00:00",124,-12
"2024-07-13 00:00:00",144,-4
"2024-07-14 00:00:00",142,-2
"2024-07-15 00:00:00",127,-3
"2024-07-16 00:00:00",43,-1
"2024-07-17 00:00:00",158,-5
"2024-07-18 00:00:00",100,-3
"2024-07-19 00:00:00",85,-5
"2024-07-20 00:00:00",101,
"2024-07-21 00:00:00",128,-3
"2024-07-22 00:00:00",121,-7
"2024-07-23 00:00:00",42,
"2024-07-24 00:00:00",154,-6
"2024-07-25 00:00:00",102,-4
"2024-07-26 00:00:00",88,-6
"2024-07-27 00:00:00",84,-2
"2024-07-28 00:00:00",97,-11
"2024-07-29 00:00:00",88,-5
"2024-07-30 00:00:00",26,
"2024-07-31 00:00:00",125,-7
"2024-08-01 00:00:00",70,-5
"2024-08-02 00:00:00",102,-6
"2024-08-03 00:00:00",104,-4
"2024-08-04 00:00:00",103,-8
"2024-08-05 00:00:00",92,-7
"2024-08-06 00:00:00",38,
"2024-08-07 00:00:00",155,-5
"2024-08-08 00:00:00",81,-8
"2024-08-09 00:00:00",104,-8
"2024-08-10 00:00:00",88,-8
"2024-08-11 00:00:00",98,-4
"2024-08-12 00:00:00",80,-1
"2024-08-13 00:00:00",41,-3
"2024-08-14 00:00:00",126,-2
"2024-08-15 00:00:00",73,-2
"2024-08-16 00:00:00",30,-2
"2024-08-17 00:00:00",73,-3
"2024-08-18 00:00:00",79,-3
"2024-08-19 00:00:00",104,-3
"2024-08-20 00:00:00",78,-1
"2024-08-21 00:00:00",82,
"2024-08-22 00:00:00",105,-8
"2024-08-23 00:00:00",42,
"2024-08-24 00:00:00",105,
"2024-08-25 00:00:00",104,-2
"2024-08-26 00:00:00",117,-6
"2024-08-27 00:00:00",42,-2
"2024-08-28 00:00:00",114,-4
"2024-08-29 00:00:00",28,-1
"2024-08-30 00:00:00",95,-3
"2024-08-31 00:00:00",90,-1
"2024-09-01 00:00:00",108,-3
"2024-09-02 00:00:00",39,
"2024-09-03 00:00:00",72,-2
"2024-09-04 00:00:00",65,
"2024-09-05 00:00:00",77,-4
"2024-09-06 00:00:00",38,
"2024-09-07 00:00:00",89,-7
"2024-09-08 00:00:00",59,
"2024-09-09 00:00:00",83,-1
"2024-09-10 00:00:00",79,
"2024-09-11 00:00:00",48,
"2024-09-12 00:00:00",82,-7
"2024-09-13 00:00:00",91,-14
"2024-09-14 00:00:00",129,-12
"2024-09-15 00:00:00",129,-8
"2024-09-16 00:00:00",179,-14
"2024-09-17 00:00:00",160,-6
"2024-09-18 00:00:00",74,-7
"2024-09-19 00:00:00",161,-10
"2024-09-20 00:00:00",147,-5
"2024-09-21 00:00:00",137,-17
"2024-09-22 00:00:00",147,-10
"2024-09-23 00:00:00",54,-3
"2024-09-24 00:00:00",160,-8
"2024-09-25 00:00:00",,
"2024-09-26 00:00:00",179,-10
"2024-09-27 00:00:00",92,-7
"2024-09-28 00:00:00",108,-12
