"DateTime","Positive reviews","Negative reviews"
"2024-04-03 00:00:00",44166,-209543
"2024-04-04 00:00:00",,
"2024-04-05 00:00:00",203,-334
"2024-04-06 00:00:00",,
"2024-04-07 00:00:00",130,-217
"2024-04-08 00:00:00",75,-119
"2024-04-09 00:00:00",74,-119
"2024-04-10 00:00:00",75,-115
"2024-04-11 00:00:00",86,-111
"2024-04-12 00:00:00",66,-103
"2024-04-13 00:00:00",85,-146
"2024-04-14 00:00:00",112,-129
"2024-04-15 00:00:00",109,-129
"2024-04-16 00:00:00",233,-249
"2024-04-17 00:00:00",262,-551
"2024-04-18 00:00:00",108,-238
"2024-04-19 00:00:00",81,-113
"2024-04-20 00:00:00",125,-167
"2024-04-21 00:00:00",147,-182
"2024-04-22 00:00:00",116,-169
"2024-04-23 00:00:00",102,-156
"2024-04-24 00:00:00",104,-142
"2024-04-25 00:00:00",95,-172
"2024-04-26 00:00:00",126,-210
"2024-04-27 00:00:00",35,-72
"2024-04-28 00:00:00",103,-172
"2024-04-29 00:00:00",117,-149
"2024-04-30 00:00:00",112,-178
"2024-05-01 00:00:00",90,-122
"2024-05-02 00:00:00",110,-179
"2024-05-03 00:00:00",85,-119
"2024-05-04 00:00:00",82,-107
"2024-05-05 00:00:00",93,-175
"2024-05-06 00:00:00",99,-172
"2024-05-07 00:00:00",91,-136
"2024-05-08 00:00:00",72,-188
"2024-05-09 00:00:00",49,-92
"2024-05-10 00:00:00",92,-169
"2024-05-11 00:00:00",77,-172
"2024-05-12 00:00:00",115,-203
"2024-05-13 00:00:00",109,-224
"2024-05-14 00:00:00",61,-131
"2024-05-15 00:00:00",131,-132
"2024-05-16 00:00:00",104,-142
"2024-05-17 00:00:00",110,-185
"2024-05-18 00:00:00",78,-122
"2024-05-19 00:00:00",118,-163
"2024-05-20 00:00:00",96,-200
"2024-05-21 00:00:00",72,-171
"2024-05-22 00:00:00",111,-232
"2024-05-23 00:00:00",37,-74
"2024-05-24 00:00:00",89,-112
"2024-05-25 00:00:00",73,-146
"2024-05-26 00:00:00",106,-206
"2024-05-27 00:00:00",50,-116
"2024-05-28 00:00:00",86,-142
"2024-05-29 00:00:00",113,-190
"2024-05-30 00:00:00",53,-110
"2024-05-31 00:00:00",97,-136
"2024-06-01 00:00:00",90,-150
"2024-06-02 00:00:00",90,-146
"2024-06-03 00:00:00",78,-156
"2024-06-04 00:00:00",62,-118
"2024-06-05 00:00:00",93,-176
"2024-06-06 00:00:00",100,-200
"2024-06-07 00:00:00",50,-113
"2024-06-08 00:00:00",41,-132
"2024-06-09 00:00:00",81,-165
"2024-06-10 00:00:00",75,-183
"2024-06-11 00:00:00",73,-148
"2024-06-12 00:00:00",72,-115
"2024-06-13 00:00:00",110,-216
"2024-06-14 00:00:00",48,-72
"2024-06-15 00:00:00",84,-133
"2024-06-16 00:00:00",81,-167
"2024-06-17 00:00:00",75,-141
"2024-06-18 00:00:00",74,-142
"2024-06-19 00:00:00",103,-152
"2024-06-20 00:00:00",162,-247
"2024-06-21 00:00:00",129,-242
"2024-06-22 00:00:00",111,-194
"2024-06-23 00:00:00",52,-97
"2024-06-24 00:00:00",89,-177
"2024-06-25 00:00:00",112,-228
"2024-06-26 00:00:00",138,-261
"2024-06-27 00:00:00",92,-186
"2024-06-28 00:00:00",80,-140
"2024-06-29 00:00:00",41,-71
"2024-06-30 00:00:00",86,-176
"2024-07-01 00:00:00",87,-201
"2024-07-02 00:00:00",86,-200
"2024-07-03 00:00:00",72,-137
"2024-07-04 00:00:00",49,-73
"2024-07-05 00:00:00",111,-198
"2024-07-06 00:00:00",45,-93
"2024-07-07 00:00:00",105,-229
"2024-07-08 00:00:00",56,-162
"2024-07-09 00:00:00",63,-167
"2024-07-10 00:00:00",137,-216
"2024-07-11 00:00:00",153,-236
"2024-07-12 00:00:00",86,-246
"2024-07-13 00:00:00",61,-121
"2024-07-14 00:00:00",81,-220
"2024-07-15 00:00:00",83,-199
"2024-07-16 00:00:00",76,-226
"2024-07-17 00:00:00",47,-118
"2024-07-18 00:00:00",71,-184
"2024-07-19 00:00:00",83,-179
"2024-07-20 00:00:00",117,-189
"2024-07-21 00:00:00",98,-188
"2024-07-22 00:00:00",110,-184
"2024-07-23 00:00:00",117,-258
"2024-07-24 00:00:00",241,-325
"2024-07-25 00:00:00",104,-173
"2024-07-26 00:00:00",101,-170
"2024-07-27 00:00:00",92,-178
"2024-07-28 00:00:00",90,-160
"2024-07-29 00:00:00",90,-180
"2024-07-30 00:00:00",93,-160
"2024-07-31 00:00:00",88,-188
"2024-08-01 00:00:00",93,-169
"2024-08-02 00:00:00",109,-239
"2024-08-03 00:00:00",69,-127
"2024-08-04 00:00:00",94,-192
"2024-08-05 00:00:00",119,-181
"2024-08-06 00:00:00",134,-231
"2024-08-07 00:00:00",73,-139
"2024-08-08 00:00:00",85,-170
"2024-08-09 00:00:00",76,-157
"2024-08-10 00:00:00",32,-70
"2024-08-11 00:00:00",110,-137
"2024-08-12 00:00:00",88,-171
"2024-08-13 00:00:00",96,-172
"2024-08-14 00:00:00",94,-119
"2024-08-15 00:00:00",94,-164
"2024-08-16 00:00:00",79,-156
"2024-08-17 00:00:00",94,-165
"2024-08-18 00:00:00",77,-150
"2024-08-19 00:00:00",69,-138
"2024-08-20 00:00:00",257,-259
"2024-08-21 00:00:00",176,-243
"2024-08-22 00:00:00",114,-164
"2024-08-23 00:00:00",105,-149
"2024-08-24 00:00:00",93,-181
"2024-08-25 00:00:00",124,-176
"2024-08-26 00:00:00",141,-227
"2024-08-27 00:00:00",78,-122
"2024-08-28 00:00:00",156,-238
"2024-08-29 00:00:00",62,-71
"2024-08-30 00:00:00",119,-166
"2024-08-31 00:00:00",90,-130
"2024-09-01 00:00:00",109,-179
"2024-09-02 00:00:00",102,-153
"2024-09-03 00:00:00",126,-213
"2024-09-04 00:00:00",112,-109
"2024-09-05 00:00:00",144,-205
"2024-09-06 00:00:00",54,-149
"2024-09-07 00:00:00",84,-89
"2024-09-08 00:00:00",108,-152
"2024-09-09 00:00:00",94,-151
"2024-09-10 00:00:00",112,-177
"2024-09-11 00:00:00",94,-100
"2024-09-12 00:00:00",61,-90
"2024-09-13 00:00:00",77,-145
"2024-09-14 00:00:00",94,-125
"2024-09-15 00:00:00",119,-182
"2024-09-16 00:00:00",90,-173
"2024-09-17 00:00:00",103,-192
"2024-09-18 00:00:00",134,-141
"2024-09-19 00:00:00",123,-180
"2024-09-20 00:00:00",114,-184
"2024-09-21 00:00:00",53,-85
"2024-09-22 00:00:00",113,-169
"2024-09-23 00:00:00",89,-144
"2024-09-24 00:00:00",98,-181
"2024-09-25 00:00:00",96,-157
"2024-09-26 00:00:00",60,-291
"2024-09-27 00:00:00",35,-191
"2024-09-28 00:00:00",89,-305
"2024-09-29 00:00:00",77,-181
"2024-09-30 00:00:00",79,-185
"2024-10-01 00:00:00",112,-174
"2024-10-02 00:00:00",84,-136
"2024-10-03 00:00:00",140,-207
