"DateTime","Positive reviews","Negative reviews"
"2016-09-16 00:00:00",14,-5
"2016-09-17 00:00:00",333,-59
"2016-09-18 00:00:00",1506,-261
"2016-09-19 00:00:00",2097,-459
"2016-09-20 00:00:00",1234,-262
"2016-09-21 00:00:00",1057,-161
"2016-09-22 00:00:00",1017,-168
"2016-09-23 00:00:00",988,-163
"2016-09-24 00:00:00",919,-144
"2016-09-25 00:00:00",1254,-188
"2016-09-26 00:00:00",1292,-229
"2016-09-27 00:00:00",789,-142
"2016-09-28 00:00:00",691,-107
"2016-09-29 00:00:00",996,-80
"2016-09-30 00:00:00",1242,-107
"2016-10-01 00:00:00",843,-92
"2016-10-02 00:00:00",858,-130
"2016-10-03 00:00:00",993,-134
"2016-10-04 00:00:00",670,-69
"2016-10-05 00:00:00",674,-61
"2016-10-06 00:00:00",606,-92
"2016-10-07 00:00:00",520,-73
"2016-10-08 00:00:00",497,-64
"2016-10-09 00:00:00",719,-84
"2016-10-10 00:00:00",776,-82
"2016-10-11 00:00:00",601,-46
"2016-10-12 00:00:00",541,-61
"2016-10-13 00:00:00",453,-62
"2016-10-14 00:00:00",490,-42
"2016-10-15 00:00:00",550,-75
"2016-10-16 00:00:00",689,-94
"2016-10-17 00:00:00",614,-63
"2016-10-18 00:00:00",404,-47
"2016-10-19 00:00:00",395,-65
"2016-10-20 00:00:00",394,-58
"2016-10-21 00:00:00",333,-42
"2016-10-22 00:00:00",356,-56
"2016-10-23 00:00:00",499,-67
"2016-10-24 00:00:00",527,-54
"2016-10-25 00:00:00",376,-54
"2016-10-26 00:00:00",343,-26
"2016-10-27 00:00:00",310,-43
"2016-10-28 00:00:00",364,-68
"2016-10-29 00:00:00",423,-51
"2016-10-30 00:00:00",535,-112
"2016-10-31 00:00:00",479,-69
"2016-11-01 00:00:00",381,-50
"2016-11-02 00:00:00",415,-52
"2016-11-03 00:00:00",404,-38
"2016-11-04 00:00:00",343,-59
"2016-11-05 00:00:00",440,-56
"2016-11-06 00:00:00",562,-75
"2016-11-07 00:00:00",606,-88
"2016-11-08 00:00:00",363,-42
"2016-11-09 00:00:00",380,-40
"2016-11-10 00:00:00",337,-38
"2016-11-11 00:00:00",491,-40
"2016-11-12 00:00:00",518,-84
"2016-11-13 00:00:00",646,-160
"2016-11-14 00:00:00",587,-88
"2016-11-15 00:00:00",371,-55
"2016-11-16 00:00:00",428,-42
